Indv	Label	(Miss)	Pop : 	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Cluster 5	Cluster 6	Cluster 7	Cluster 8	Cluster 9	Cluster 10	Cluster 11	Cluster 12	Cluster 13	Cluster 14	Cluster 15	Cluster 16	Cluster 17	Cluster 18	Cluster 19	Cluster 20
1	TC01	(0)	0 : 	0.003	0.009	0.003	0.004	0.003	0.003	0.007	0.005	0.003	0.002	0.007	0.002	0.902	0.007	0.005	0.005	0.009	0.003	0.009	0.008
2	TC02	(0)	0 : 	0.004	0.011	0.003	0.004	0.004	0.004	0.003	0.006	0.004	0.003	0.004	0.003	0.916	0.002	0.004	0.003	0.007	0.004	0.005	0.004
3	TC03	(0)	0 : 	0.005	0.004	0.003	0.005	0.004	0.002	0.004	0.004	0.005	0.003	0.004	0.003	0.924	0.004	0.004	0.007	0.005	0.004	0.003	0.004
4	TC04	(0)	0 : 	0.004	0.014	0.007	0.005	0.023	0.017	0.018	0.008	0.030	0.003	0.003	0.005	0.773	0.003	0.003	0.007	0.057	0.011	0.004	0.005
5	TC05	(0)	0 : 	0.005	0.006	0.002	0.008	0.006	0.005	0.002	0.004	0.006	0.003	0.002	0.003	0.921	0.004	0.002	0.003	0.004	0.005	0.002	0.006
6	TC06	(1)	0 : 	0.006	0.008	0.008	0.011	0.004	0.017	0.007	0.004	0.032	0.002	0.003	0.003	0.858	0.004	0.007	0.004	0.009	0.005	0.003	0.006
7	TC07	(0)	0 : 	0.003	0.005	0.002	0.003	0.005	0.006	0.003	0.006	0.004	0.004	0.002	0.003	0.914	0.005	0.003	0.005	0.007	0.007	0.009	0.004
8	TC08	(0)	0 : 	0.004	0.004	0.007	0.007	0.004	0.004	0.002	0.006	0.005	0.005	0.003	0.002	0.921	0.005	0.002	0.002	0.004	0.003	0.003	0.008
9	TC09	(0)	0 : 	0.003	0.007	0.090	0.008	0.006	0.002	0.003	0.004	0.014	0.002	0.002	0.003	0.807	0.005	0.024	0.006	0.004	0.003	0.002	0.005
10	TC10	(0)	0 : 	0.003	0.003	0.002	0.003	0.003	0.007	0.002	0.002	0.006	0.002	0.012	0.003	0.874	0.003	0.032	0.018	0.005	0.007	0.005	0.009
11	TC11	(0)	0 : 	0.003	0.003	0.003	0.002	0.003	0.003	0.003	0.002	0.002	0.004	0.004	0.003	0.922	0.003	0.003	0.003	0.004	0.002	0.008	0.019
12	TC12	(0)	0 : 	0.007	0.006	0.003	0.005	0.004	0.007	0.007	0.011	0.008	0.004	0.006	0.003	0.889	0.003	0.004	0.006	0.016	0.003	0.006	0.004
13	TC13	(1)	0 : 	0.002	0.004	0.005	0.003	0.003	0.003	0.002	0.003	0.005	0.002	0.003	0.003	0.929	0.003	0.009	0.002	0.003	0.003	0.002	0.009
14	TC14	(0)	0 : 	0.004	0.014	0.004	0.022	0.005	0.003	0.006	0.003	0.056	0.006	0.005	0.011	0.814	0.005	0.018	0.004	0.005	0.003	0.005	0.006
15	TC15	(1)	0 : 	0.003	0.007	0.015	0.005	0.006	0.003	0.004	0.004	0.024	0.002	0.003	0.010	0.873	0.005	0.014	0.004	0.005	0.007	0.002	0.004
16	TC16	(0)	0 : 	0.006	0.012	0.084	0.007	0.006	0.004	0.004	0.005	0.018	0.007	0.003	0.004	0.768	0.003	0.037	0.004	0.012	0.009	0.003	0.005
