Indv	Label	(Miss)	Pop : 	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Cluster 5	Cluster 6	Cluster 7	Cluster 8
1	TC01	(0)	0 : 	0.010	0.004	0.020	0.005	0.934	0.006	0.002	0.019
2	TC02	(0)	0 : 	0.009	0.005	0.005	0.008	0.960	0.005	0.004	0.004
3	TC03	(0)	0 : 	0.005	0.006	0.004	0.004	0.965	0.008	0.004	0.005
4	TC04	(0)	0 : 	0.009	0.058	0.021	0.079	0.820	0.006	0.004	0.004
5	TC05	(0)	0 : 	0.003	0.005	0.002	0.006	0.972	0.003	0.003	0.005
6	TC06	(1)	0 : 	0.014	0.061	0.006	0.008	0.896	0.003	0.003	0.008
7	TC07	(0)	0 : 	0.004	0.003	0.005	0.010	0.968	0.003	0.004	0.003
8	TC08	(0)	0 : 	0.003	0.010	0.003	0.005	0.968	0.003	0.005	0.005
9	TC09	(0)	0 : 	0.043	0.090	0.003	0.004	0.850	0.002	0.002	0.005
10	TC10	(0)	0 : 	0.023	0.005	0.005	0.004	0.918	0.039	0.002	0.003
11	TC11	(0)	0 : 	0.003	0.003	0.005	0.003	0.978	0.004	0.003	0.002
12	TC12	(0)	0 : 	0.006	0.011	0.010	0.021	0.929	0.011	0.004	0.008
13	TC13	(1)	0 : 	0.007	0.007	0.002	0.003	0.972	0.003	0.002	0.003
14	TC14	(0)	0 : 	0.039	0.054	0.009	0.005	0.862	0.005	0.010	0.015
15	TC15	(1)	0 : 	0.020	0.063	0.004	0.007	0.889	0.007	0.005	0.005
16	TC16	(0)	0 : 	0.050	0.136	0.004	0.012	0.780	0.003	0.008	0.007
17	TC17	(0)	0 : 	0.172	0.015	0.011	0.029	0.729	0.008	0.011	0.026
18	TC18	(0)	0 : 	0.006	0.005	0.026	0.011	0.909	0.032	0.007	0.004
19	TC19	(1)	0 : 	0.017	0.006	0.002	0.003	0.964	0.003	0.003	0.003
20	TC20	(0)	0 : 	0.009	0.007	0.006	0.004	0.965	0.003	0.003	0.004
