Run	K	DIC
1	5	165311.1715
2	5	165830.3597
3	5	165826.844
1	6	158934.8303
2	6	158367.9376
3	6	157052.0649
1	7	152457.8525
2	7	151911.0211
3	7	152408.1644
1	8	145960.5909
2	8	150448.8054
3	8	149138.6991
1	9	140483.3339
2	9	142787.9846
3	9	139349.4963
1	10	138053.6808
2	10	138325.9376
3	10	139822.1052
1	11	136043.9317
2	11	134232.567
3	11	135048.7958
1	12	128973.7571
2	12	129612.7412
3	12	131815.2763
1	13	126320.5724
2	13	126946.1501
3	13	129074.3163
1	14	124863.1722
2	14	124979.8967
3	14	124242.9528
1	15	125691.9418
2	15	128435.1055
3	15	122427.5858
1	16	121920.3173
2	16	124004.0052
3	16	121139.3644
1	17	119410.9025
2	17	121278.0326
3	17	123864.0798
1	18	120192.1219
2	18	118888.0475
3	18	121502.4777
1	19	116911.8099
2	19	118352.0954
3	19	119597.6428
1	20	116915.7646
2	20	117285.5224
3	20	117325.7068
1	21	115037.3972
2	21	115701.7656
3	21	114781.8273
1	22	114599.232
2	22	113923.6627
3	22	116582.5675
1	23	114750.0897
2	23	114504.3125
3	23	115652.9291
1	24	116371.2541
2	24	113703.4889
3	24	114385.7264
1	25	116496.3923
2	25	114457.9352
3	25	113484.4978
1	26	114910.0286
2	26	114476.6494
3	26	113272.4903
1	27	112393.9298
2	27	114372.9276
3	27	111756.1207
1	28	111993.3048
2	28	113079.2007
3	28	117219.0515
1	29	111149.2998
2	29	111775.4551
3	29	112384.2857
1	30	111372.1353
2	30	113414.7158
3	30	111286.2394
