Run	K	Mean_Ln_likelihood	Variance_Ln_likelihood
1	5	-82655.586	2559364.727
2	5	-82915.18	2576891.57
3	5	-82913.422	1730161.98
1	6	-79467.415	2428943.213
2	6	-79183.969	2021142.972
3	6	-78526.032	3331204.679
1	7	-76228.926	3361753.656
2	7	-75955.511	4777006.642
3	7	-76204.082	3949091.509
1	8	-72980.295	2818769.87
2	8	-75224.403	3236175.474
3	8	-74569.35	3222736.119
1	9	-70241.667	3272640.09
2	9	-71393.992	3647461.575
3	9	-69674.748	4160480.239
1	10	-69026.84	3295143.987
2	10	-69162.969	3379813.944
3	10	-69911.053	3585520.297
1	11	-68021.966	3590134.431
2	11	-67116.283	4305671.638
3	11	-67524.398	3532767.755
1	12	-64486.879	5686829.976
2	12	-64806.371	4818299.022
3	12	-65907.638	5338402.288
1	13	-63160.286	4992579.551
2	13	-63473.075	4357976.637
3	13	-64537.158	5227982.151
1	14	-62431.586	5373044.699
2	14	-62489.948	4904671.528
3	14	-62121.476	5076396.407
1	15	-62845.971	4254767.009
2	15	-64217.553	4578299.985
3	15	-61213.793	5372760.959
1	16	-60960.159	4694851.755
2	16	-62002.003	4272794.715
3	16	-60569.682	4623062.85
1	17	-59705.451	4659086.003
2	17	-60639.016	5191259.541
3	17	-61932.04	4395337.447
1	18	-60096.061	4657667.752
2	18	-59444.024	4591475.893
3	18	-60751.239	4234147.686
1	19	-58455.905	3982656.979
2	19	-59176.048	4830581.131
3	19	-59798.821	4764507.575
1	20	-58457.882	4841936.24
2	20	-58642.761	4666317.279
3	20	-58662.853	4770346.231
1	21	-57518.699	4394994.913
2	21	-57850.883	4539486.564
3	21	-57390.914	4197275.44
1	22	-57299.616	4436617.885
2	22	-56961.831	4990852.816
3	22	-58291.284	4820619.529
1	23	-57375.045	4742273.346
2	23	-57252.156	4771454.351
3	23	-57826.465	4372934.821
1	24	-58185.627	4218673.628
2	24	-56851.744	4373424.939
3	24	-57192.863	3844151.806
1	25	-58248.196	3792126.699
2	25	-57228.968	4970120.956
3	25	-56742.249	4210343.024
1	26	-57455.014	4118227.041
2	26	-57238.325	3803669.152
3	26	-56636.245	4092050.959
1	27	-56196.965	3911530.882
2	27	-57186.464	4123839.418
3	27	-55878.06	4052734.78
1	28	-55996.652	3816611.01
2	28	-56539.6	3701622.693
3	28	-58609.526	3300155.049
1	29	-55574.65	3658553.289
2	29	-55887.728	3598815.445
3	29	-56192.143	4138032.424
1	30	-55686.068	3383107.268
2	30	-56707.358	3440050.552
3	30	-55643.12	3728052.418
