K	Reps	Mean_LnP	Stdev_LnP	LnRTC	LnRTC2	Delta_K
5	3	-87688.7000	588.4922	NA	NA	NA
6	3	-83576.1333	673.6201	4112.566667	1435.866667	2.131567
7	3	-80899.4333	868.5945	2676.700000	1115.066667	1.283760
8	3	-77107.6667	136.1967	3791.766667	1719.200000	12.622919
9	3	-75035.1000	858.8132	2072.566667	1339.700000	1.559943
10	3	-74302.2333	1878.4384	732.866667	1110.200000	0.591023
11	3	-72459.1667	481.0424	1843.066667	226.700000	0.471268
12	3	-70389.4000	1486.6767	2069.766667	698.566667	0.469885
13	3	-69018.2000	1074.3396	1371.200000	750.366667	0.698445
14	3	-68397.3667	1576.4904	620.833333	1014.233333	0.643349
15	3	-68790.7667	959.2693	-393.400000	1967.666667	2.051214
16	3	-71151.8333	4323.3613	-2361.066667	259.433333	0.060007
17	3	-73253.4667	12069.6250	-2101.633333	9002.300000	0.745864
18	3	-66352.8000	2858.3859	6900.666667	8205.300000	2.870606
19	3	-67657.4333	246.0583	-1304.633333	1751.566667	7.118502
20	3	-70713.6333	6509.6728	-3056.200000	5267.533333	0.809186
21	3	-79037.3667	14547.9628	-8323.733333	3266.500000	0.224533
22	3	-84094.6000	30336.6661	-5057.233333	22019.866667	0.725850
23	3	-111171.7000	49193.6663	-27077.100000	62963.266667	1.279906
24	3	-75285.5333	15145.1570	35886.166667	65038.533333	4.294345
25	3	-104437.9000	28956.0213	-29152.366667	60401.033333	2.085958
26	3	-73189.2333	10003.4425	31248.666667	40939.733333	4.092564
27	3	-82880.3000	21862.1111	-9691.066667	13419.466667	0.613823
28	3	-105990.8333	57563.8619	-23110.533333	7313.033333	0.127042
29	3	-136414.4000	74908.4184	-30423.566667	23332.400000	0.311479
30	3	-143505.5667	115017.4442	-7091.166667	NA	NA
