File_name	Run	K	Est_Ln_prob_data	Mean_Ln_likelihood	Variance_Ln_likelihood
Riv_STR_Out5_Chain1_f		5	-87777.9	-87185.5	1184.8
Riv_STR_Out5_Chain3_f		5	-87060.7	-86437.0	1247.5
Riv_STR_Out5_Chain2_f		5	-88227.5	-87611.3	1232.4
Riv_STR_Out6_Chain1_f		6	-82889.2	-82240.8	1296.9
Riv_STR_Out6_Chain2_f		6	-84235.6	-83476.1	1519.0
Riv_STR_Out6_Chain3_f		6	-83603.6	-82978.0	1251.1
Riv_STR_Out7_Chain3_f		7	-81898.9	-81131.6	1534.6
Riv_STR_Out7_Chain1_f		7	-80472.2	-79749.0	1446.4
Riv_STR_Out7_Chain2_f		7	-80327.2	-79622.8	1408.7
Riv_STR_Out8_Chain2_f		8	-77181.4	-76361.5	1639.8
Riv_STR_Out8_Chain3_f		8	-77191.1	-76388.0	1606.4
Riv_STR_Out8_Chain1_f		8	-76950.5	-76099.0	1702.9
Riv_STR_Out9_Chain1_f		9	-74247.9	-73366.7	1762.4
Riv_STR_Out9_Chain3_f		9	-75951.0	-75029.0	1844.0
Riv_STR_Out9_Chain2_f		9	-74906.4	-74048.1	1716.5
Riv_STR_Out10_Chain1_f		10	-76173.7	-75164.6	2018.2
Riv_STR_Out10_Chain2_f		10	-74316.1	-73266.8	2098.6
Riv_STR_Out10_Chain3_f		10	-72416.9	-71435.9	1962.0
Riv_STR_Out11_Chain2_f		11	-72055.4	-70957.7	2195.5
Riv_STR_Out11_Chain1_f		11	-72330.7	-71075.9	2509.5
Riv_STR_Out11_Chain3_f		11	-72991.4	-71776.1	2430.5
Riv_STR_Out12_Chain2_f		12	-71091.5	-69641.8	2899.5
Riv_STR_Out12_Chain1_f		12	-68681.7	-67383.1	2597.2
Riv_STR_Out12_Chain3_f		12	-71395.0	-70218.3	2353.3
Riv_STR_Out13_Chain3_f		13	-67840.1	-65974.6	3730.9
Riv_STR_Out13_Chain2_f		13	-69943.8	-68688.4	2510.9
Riv_STR_Out13_Chain1_f		13	-69270.7	-68028.6	2484.2
Riv_STR_Out14_Chain2_f		14	-67602.0	-66131.5	2941.1
Riv_STR_Out14_Chain3_f		14	-67377.0	-65931.9	2890.2
Riv_STR_Out14_Chain1_f		14	-70213.1	-68479.0	3468.1
Riv_STR_Out15_Chain1_f		15	-67816.5	-64754.7	6123.6
Riv_STR_Out15_Chain2_f		15	-69734.3	-67204.2	5060.3
Riv_STR_Out15_Chain3_f		15	-68821.5	-66124.6	5394.0
Riv_STR_Out16_Chain1_f		16	-76136.8	-66655.4	18962.9
Riv_STR_Out16_Chain3_f		16	-68891.8	-65292.3	7199.0
Riv_STR_Out16_Chain2_f		16	-68426.9	-65897.7	5058.4
Riv_STR_Out17_Chain1_f		17	-66435.1	-64120.7	4628.9
Riv_STR_Out17_Chain3_f		17	-87189.2	-65643.5	43091.5
Riv_STR_Out17_Chain2_f		17	-66136.1	-63248.3	5775.6
Riv_STR_Out18_Chain3_f		18	-65174.4	-63093.1	4162.7
Riv_STR_Out18_Chain1_f		18	-64272.0	-61455.6	5632.9
Riv_STR_Out18_Chain2_f		18	-69612.0	-63197.5	12829.0
Riv_STR_Out19_Chain2_f		19	-67402.0	-63013.5	8776.9
Riv_STR_Out19_Chain3_f		19	-67892.9	-61727.2	12331.4
Riv_STR_Out19_Chain1_f		19	-67677.4	-62586.2	10182.3
Riv_STR_Out20_Chain1_f		20	-68170.4	-63871.9	8597.0
Riv_STR_Out20_Chain3_f		20	-78111.0	-61434.4	33353.0
Riv_STR_Out20_Chain2_f		20	-65859.5	-61933.0	7853.1
Riv_STR_Out21_Chain3_f		21	-94826.0	-61911.7	65828.6
Riv_STR_Out21_Chain2_f		21	-76111.2	-61151.0	29920.3
